,betweenness,closeness,degree,eigenvector
0,0.14630592147442917,0.35334266713335666,0.08593363051015354,3.3917961722702005e-05
1,2.7832744209034606e-06,0.2613761408505405,0.004210004952947003,6.045346134948106e-07
2,7.595021178512074e-08,0.26125776397515527,0.0024764735017335313,2.2334609371911963e-07
3,1.6850656559280464e-06,0.2613761408505405,0.004210004952947003,6.63564808392105e-07
4,1.8403320547933104e-07,0.26125776397515527,0.0024764735017335313,2.2364157028893598e-07
5,2.205964164092193e-06,0.2613084837895554,0.0032194155522535907,1.1833221118435212e-06
6,2.4537760730577472e-08,0.26119016817593793,0.0014858841010401188,2.1709041695161255e-07
7,0.0001702984836730339,0.2747686445291236,0.004952947003467063,2.568510124822488e-05
8,2.7604980821899654e-07,0.2612239617026782,0.001981178801386825,2.1973746334830277e-07
9,1.6454236303026905e-05,0.2620546433902265,0.014115898959881128,2.214116624486093e-06
10,4.986739552037655e-08,0.26125776397515527,0.0024764735017335313,7.70856704409262e-07
11,0.0,0.26110572259941806,0.00024764735017335313,2.1031233303459659e-07
12,0.0,0.26110572259941806,0.00024764735017335313,2.1031233303459659e-07
13,1.7622717578436846e-06,0.26161321671525756,0.007677067855373947,1.1037905475985728e-06
14,5.582871686568508e-07,0.2613423079412336,0.003714710252600297,2.3055679294325333e-07
15,0.0,0.26110572259941806,0.00024764735017335313,2.1031233303459659e-07
16,1.9979459275532697e-07,0.2612408617454875,0.002228826151560178,2.616513592117461e-07
17,4.1066669000480344e-07,0.2613084837895554,0.0032194155522535907,2.2774170298520136e-07
18,0.0,0.26110572259941806,0.00024764735017335313,2.1031233303459659e-07
19,5.062957964075819e-06,0.2613592233009709,0.00396235760277365,2.314909211860284e-07
20,6.793693332142838e-07,0.2613423079412336,0.003714710252600297,2.303887574112188e-07
21,0.0009380243844653233,0.2756125861715924,0.016097077761267953,2.5965755464539653e-05
22,6.703002200833232e-07,0.2612746683921061,0.0027241208519068845,1.0365420550578178e-06
23,6.860348937590618e-06,0.2613761408505405,0.004210004952947003,2.3278559554674642e-07
24,1.3673472422981514e-07,0.2613592233009709,0.00396235760277365,2.4875636881516764e-07
25,5.38808313945586e-05,0.26225888160031174,0.017087667161961365,2.092047740990878e-06
26,1.935436798204632e-05,0.26224184959085595,0.016840019811788013,2.3336210782441306e-06
27,3.067220091322184e-08,0.2611732746911584,0.0012382367508667657,3.850049336881093e-07
28,3.812160659244892e-07,0.2613084837895554,0.0032194155522535907,2.2763281506591423e-07
29,1.3954817951917517e-06,0.2613084837895554,0.0032194155522535907,2.927663311548732e-07
30,1.3694627409316544e-06,0.2613761408505405,0.004210004952947003,9.629120440105805e-07
31,4.932641252790837e-06,0.2614776921582594,0.005695889053987122,1.4530295555049818e-06
32,0.0,0.26119016817593793,0.0014858841010401188,2.1726560021384552e-07
33,0.0,0.26112260734609416,0.0004952947003467063,2.116271213063482e-07
